reference,,,,,inner,,,,,outer,,,,,both,,,
real,user,sys,speed-up,,real,user,sys,speed-up,,real,user,sys,speed-up,,real,user,sys,speed-up
0.015,0.001,0.001,1,0,0.017,0.002,0.004,0.88235,0,0.014,0.002,0.003,1.0714,0,0.017,0.002,0.003,0.88235
2.084,2.164,0.03,1,0,1.138,3.5,0.046,1.8313,0,0.952,3.075,0.026,2.1891,0,1.069,3.562,0.028,1.9495
4.488,4.532,0.087,1,0,2.068,7.085,0.094,2.1702,0,1.748,6.044,0.031,2.5675,0,1.962,6.897,0.041,2.2875
6.42,6.655,0.097,1,0,3.108,10.612,0.144,2.0656,0,2.647,9.084,0.048,2.4254,0,3.101,10.436,0.084,2.0703
8.38,8.747,0.101,1,0,4.055,14.204,0.159,2.0666,0,3.502,12.11,0.063,2.3929,0,4.367,13.763,0.152,1.9189
10.52,10.952,0.149,1,0,4.899,17.789,0.154,2.1474,0,4.407,15.217,0.082,2.3871,0,5.165,17.197,0.136,2.0368
13.64,13.664,0.242,1,0,5.896,21.482,0.196,2.3134,0,5.326,18.313,0.096,2.561,0,5.99,20.671,0.13,2.2771
16.576,16.079,0.343,1,0,6.836,25.132,0.218,2.4248,0,6.2,21.323,0.105,2.6735,0,7.422,24.317,0.22,2.2334
18.292,18.227,0.324,1,0,7.885,28.899,0.264,2.3198,0,7.097,24.38,0.126,2.5774,0,8.199,27.97,0.214,2.231